active_through,candidate_id,candidate_inactive,candidate_status,cycles,district,district_number,election_districts,election_years,federal_funds_flag,first_file_date,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,last_file_date,load_date,name,office,office_full,party,party_full,state
1978,H6PA16106,False,P,"[1976, 1978, 1980]",16,16.0,"['16', '16']","[1976, 1978]",False,1976-04-12,True,,,,1978-07-05,1978-07-05,2002-03-30T00:00:00,"AAMODT, NORMAN O.",H,House,REP,REPUBLICAN PARTY,PA
2012,H2CA01110,False,P,"[2012, 2014, 2016]",01,1.0,['01'],[2012],False,2012-02-22,True,,C,Challenger,2012-02-22,2012-02-22,2013-04-26T09:04:30,"AANESTAD, SAMUEL",H,House,REP,REPUBLICAN PARTY,CA
2018,H8CO06237,False,C,[2018],06,6.0,['06'],[2018],False,2017-04-26,True,,C,Challenger,2017-04-26,2017-04-26,2017-08-01T20:57:28,"AARESTAD, DAVID",H,House,DEM,DEMOCRATIC PARTY,CO
1998,H8CA18053,False,N,[1998],18,18.0,['18'],[1998],False,,False,,C,Challenger,,,2002-04-03T00:00:00,"AAROE, KEN",H,House,LIB,LIBERTARIAN PARTY,CA
2008,P80002926,False,N,"[2006, 2008, 2010, 2012, 2014, 2016]",00,0.0,['00'],[2008],False,2005-10-12,True,,O,Open seat,2007-03-13,2007-03-13,2016-11-17T06:10:48,"AARON, LAURA DAVIS",P,President,DEM,DEMOCRATIC PARTY,US
2020,H0FL21102,False,N,[2020],21,21.0,['21'],[2020],False,2019-11-20,False,,C,Challenger,2019-11-20,2019-11-20,2019-11-25T21:06:05,"AARONS, ADAM",H,House,DEM,DEMOCRATIC PARTY,FL
2024,H4OR05312,False,C,[2024],05,5.0,['05'],[2024],False,2023-07-24,True,,C,Challenger,2023-07-24,2023-07-24,2023-10-16T21:03:02,"AASEN, ANDREW J",H,House,NON,NON-PARTY,OR
2024,H2CA30291,False,N,"[2022, 2024]",32,32.0,"['32', '32']","[2022, 2024]",False,2021-01-16,True,,C,Challenger,2022-07-15,2022-07-15,2023-01-12T22:24:01,"AAZAMI, SHERVIN",H,House,DEM,DEMOCRATIC PARTY,CA
2016,P60016326,False,N,[2016],00,0.0,['00'],[2016],False,2015-09-30,False,,O,Open seat,2015-09-30,2015-09-30,2016-11-17T06:10:49,"ABABIY, JON",P,President,PAF,PEACE AND FREEDOM,US
2022,H2MN07162,False,P,"[2022, 2024]",07,7.0,['07'],[2022],False,2022-06-06,True,,C,Challenger,2022-06-06,2022-06-06,2023-03-09T10:16:03,"ABAHSAIN, JILL",H,House,DFL,DEMOCRATIC-FARMER-LABOR,MN
2000,H0MA01024,False,P,"[2000, 2002, 2004]",01,1.0,['01'],[2000],False,2000-02-02,True,,C,Challenger,2000-02-02,2000-02-02,2002-04-12T00:00:00,"ABAIR, PETER JON",H,House,REP,REPUBLICAN PARTY,MA
2024,P40008203,False,N,"[2022, 2024]",00,0.0,['00'],[2024],False,2022-06-16,False,,C,Challenger,2022-06-16,2022-06-16,2023-01-12T22:24:01,"ABAIR, REBECCA GAIL MS.",P,President,REP,REPUBLICAN PARTY,US
2024,P40009169,False,N,"[2022, 2024]",00,0.0,['00'],[2024],False,2022-10-10,False,,C,Challenger,2022-10-10,2022-10-10,2023-01-12T22:24:01,"ABAIR, REBECCA GAIL MS. PHD",P,President,REP,REPUBLICAN PARTY,US
2012,H2MT00039,False,N,"[2012, 2014, 2016, 2018]",00,0.0,['00'],[2012],False,2011-05-25,False,,O,Open seat,2011-10-03,2011-10-03,2011-10-04T23:20:42,"ABARR, JOHN ALLEN",H,House,DEM,DEMOCRATIC PARTY,MT
2008,H6NJ05155,False,C,"[2006, 2008]",05,5.0,"['05', '05']","[2006, 2008]",False,2006-03-28,True,,C,Challenger,2007-06-05,2007-06-05,2009-04-29T00:00:00,"ABATE, CAMILLE M",H,House,DEM,DEMOCRATIC PARTY,NJ
2018,H6AZ03245,False,N,"[2016, 2018]",03,3.0,"['03', '03']","[2016, 2018]",False,2017-04-10,False,,C,Challenger,2017-04-10,2017-04-10,2017-04-19T21:05:08,"ABATECOLA, BILL",H,House,REP,REPUBLICAN PARTY,AZ
1992,H2NJ12036,False,P,"[1992, 1994, 1996, 1998]",12,12.0,['12'],[1992],False,1992-04-15,True,,C,Challenger,1992-04-15,1992-04-15,2002-04-03T00:00:00,"ABATE, FRANK G",H,House,DEM,DEMOCRATIC PARTY,NJ
1990,H0IA03071,False,C,[1990],03,3.0,['03'],[1990],False,1990-05-01,True,,C,Challenger,1990-05-01,1990-05-01,2002-03-30T00:00:00,"ABBAS, JEFFREY LYN",H,House,REP,REPUBLICAN PARTY,IA
1998,H8CT03042,False,N,[1998],03,3.0,['03'],[1998],False,,False,,C,Challenger,,,2002-04-03T00:00:00,"ABBATIELLO, KRISTEN J",H,House,OTH,OTHER,CT
2024,H0TX36039,False,N,"[2020, 2024]",38,38.0,"[None, '38']","[2020, 2024]",False,,False,,C,Challenger,,,2024-03-05T21:00:08,"ABBEY, CHAD",H,House,LIB,LIBERTARIAN PARTY,TX
2024,H4CA32152,False,N,[2024],32,32.0,['32'],[2024],False,2023-12-03,True,,C,Challenger,2024-02-07,2024-02-07,2024-02-08T21:02:32,"ABBITT, DAVE",H,House,DEM,DEMOCRATIC PARTY,CA
1994,H4TX15043,False,C,[1994],15,15.0,['15'],[1994],False,1994-01-14,True,,C,Challenger,1994-01-14,1994-01-14,2002-03-30T00:00:00,"ABBOTT, BONNIE",H,House,REP,REPUBLICAN PARTY,TX
2016,P60005840,False,N,[2016],00,0.0,['00'],[2016],False,2015-02-26,False,,O,Open seat,2015-02-26,2015-02-26,2016-11-17T06:10:49,"ABBOTT, GIFFORD WHEELER JR",P,President,IND,INDEPENDENT,US
1996,H6SD00077,False,P,"[1996, 1998]",01,1.0,['00'],[1996],False,1995-10-02,True,,C,Challenger,1995-10-02,1995-10-02,2002-04-03T00:00:00,"ABBOTT, JAMES W",H,House,DEM,DEMOCRATIC PARTY,SD
1992,P80002579,False,P,"[1988, 1990, 1992, 1994, 1996, 1998]",00,0.0,"['00', '00']","[1988, 1992]",True,1988-08-29,True,,C,Challenger,1992-06-16,1992-06-16,2002-04-03T00:00:00,"ABBOTT, JOHN HANCOCK",P,President,DEM,DEMOCRATIC PARTY,US
1988,S6CA00345,False,N,"[1986, 1988]",00,0.0,"['00', '00']","[1986, 1988]",False,1988-05-16,True,,C,Challenger,1988-08-29,1988-08-29,2005-05-26T00:00:00,"ABBOTT, JOHN HANCOCK",S,Senate,DEM,DEMOCRATIC PARTY,CA
2022,S2VT00359,False,N,[2022],,,[None],[2022],False,,False,,O,Open seat,,,2022-10-26T21:15:05,"ABBOTT, MARTHA",S,Senate,OTH,OTHER,VT
2004,H2TX18082,False,P,"[2002, 2004]",18,18.0,"['18', '18']","[2002, 2004]",False,2002-03-12,True,,C,Challenger,2002-03-12,2002-03-12,2005-03-02T00:00:00,"ABBOTT, PHILLIP J.",H,House,REP,REPUBLICAN PARTY,TX
2000,H4KY03095,False,P,"[1994, 1996, 2000]",03,3.0,"['03', '03', '03']","[1994, 1996, 2000]",False,1994-05-11,True,,C,Challenger,2000-05-25,2000-05-25,2002-04-07T00:00:00,"ABBOTT, RAYMOND H",H,House,DEM,DEMOCRATIC PARTY,KY
2014,H4MI03201,False,N,"[2012, 2014]",03,3.0,['03'],[2014],False,2012-11-16,False,,C,Challenger,2012-11-16,2012-11-16,2013-01-03T22:17:08,"ABBOTT, RICHARD ALLEN IV",H,House,DEM,DEMOCRATIC PARTY,MI
2004,H2IN04101,False,P,"[2002, 2004, 2006, 2008]",04,4.0,"['04', '04']","[2002, 2004]",False,2002-06-05,True,,C,Challenger,2004-01-22,2004-01-22,2004-01-29T00:00:00,"ABBOTT, WILLIAM ANTHONY",H,House,DEM,DEMOCRATIC PARTY,IN
1988,H8NE02089,False,P,"[1988, 1990, 1992, 1994, 1996]",02,2.0,['02'],[1988],False,1987-11-09,True,,C,Challenger,1987-11-09,1987-11-09,2002-04-02T00:00:00,"ABBOUD, CHRIS",H,House,REP,REPUBLICAN PARTY,NE
2018,S8AZ00122,False,P,"[2018, 2020]",00,0.0,['00'],[2018],False,2017-04-11,True,,O,Open seat,2017-04-11,2017-04-11,2019-03-27T16:02:41,"ABBOUD, DEEDRA",S,Senate,DEM,DEMOCRATIC PARTY,AZ
2008,H8IL16062,False,P,"[2008, 2010, 2012]",16,16.0,['16'],[2008],False,2007-08-03,True,,C,Challenger,2007-08-03,2007-08-03,2008-01-07T21:45:39,"ABBOUD, ROBERT",H,House,DEM,DEMOCRATIC PARTY,IL
2006,H6OH13224,False,N,[2006],13,13.0,['13'],[2006],False,2006-11-28,False,,O,Open seat,,2007-02-12,2006-07-21T00:00:00,"ABBOUD, RUTH NADER",H,House,REP,REPUBLICAN PARTY,OH
2020,H0VA10152,False,N,"[2018, 2020, 2022, 2024]",10,10.0,['10'],[2020],False,2018-11-10,False,,C,Challenger,2018-11-10,2018-11-28,2019-01-28T21:05:11,"ABDALLAH, UNIT89487",H,House,W,WRITE-IN,VA
2022,H2NY12197,False,P,"[2022, 2024]",12,12.0,['12'],[2022],False,2021-04-13,True,,C,Challenger,2021-04-13,2021-04-13,2023-03-09T10:16:03,"ABDELHAMID, RANA",H,House,DEM,DEMOCRATIC PARTY,NY
1980,H0NY39012,False,P,"[1980, 1982, 1984]",39,39.0,['39'],[1980],False,1980-05-22,True,,,,1980-05-22,1980-05-22,2002-03-30T00:00:00,"ABDELLA, JAMES",H,House,REP,REPUBLICAN PARTY,NY
2022,H2MN05174,False,P,"[2022, 2024]",05,5.0,['05'],[2022],False,2021-09-24,False,,C,Challenger,2021-09-24,2021-09-24,2023-03-09T10:16:03,"ABDIRAHMAN, SHUKRI ABDULLAHI MS.",H,House,REP,REPUBLICAN PARTY,MN
1986,S0SD00054,False,P,"[1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004]",00,0.0,"['00', '00']","[1980, 1986]",False,1980-02-15,True,,C,Challenger,1986-09-09,1987-02-19,2002-04-12T00:00:00,"ABDNOR, JAMES",S,Senate,REP,REPUBLICAN PARTY,SD
1980,H6SD02024,False,P,"[1976, 1978, 1980]",02,2.0,"['02', '02', '02']","[1976, 1978, 1980]",False,1976-01-26,False,,I,Incumbent,1980-02-27,1980-02-27,2002-03-30T00:00:00,"ABDNOR, JAMES",H,House,REP,REPUBLICAN PARTY,SD
2018,H8MN05163,False,C,[2018],05,5.0,['05'],[2018],False,2017-01-18,True,,O,Open seat,2018-07-09,2018-07-09,2018-08-07T21:19:28,"ABDULAHI, JAMAL MR.",H,House,DEM,DEMOCRATIC PARTY,MN
2016,P60012838,False,N,[2016],00,0.0,['00'],[2016],False,2015-08-25,False,,O,Open seat,2015-08-25,2015-08-25,2016-11-17T06:10:49,"ABDULHAMID, AMMAR",P,President,IND,INDEPENDENT,US
2024,P40013088,False,N,[2024],00,0.0,['00'],[2024],False,2023-05-25,False,,C,Challenger,2023-05-25,2023-05-25,2023-06-08T21:05:05,"ABDULLAHI, FUAD",P,President,AIP,AMERICAN INDEPENDENT PARTY,US
2022,H2OH09197,False,N,[2022],09,9.0,['09'],[2022],False,2022-02-22,False,,C,Challenger,2022-02-22,2022-02-22,2022-03-14T21:09:28,"ABDULLAHI, MUNIRA YASIN",H,House,DEM,DEMOCRATIC PARTY,OH
1984,H4CA29018,False,N,[1984],29,29.0,['29'],[1984],False,1983-12-12,False,,,,1983-12-12,1983-12-12,2002-03-30T00:00:00,"ABDULLAH, MUHAMMAD",H,House,IND,INDEPENDENT,CA
1989,H0TX18136,False,N,"[1990, 1992, 1994, 1996]",18,18.0,['18'],[1989],False,1989-10-10,False,,C,Challenger,1989-10-10,1989-10-10,2002-04-02T00:00:00,"ABDUL-RAHMAN, SOLOMON",H,House,REP,REPUBLICAN PARTY,TX
2022,H0CA50129,False,C,"[2020, 2022]",50,50.0,"['50', '50']","[2020, 2022]",False,2019-07-02,True,,C,Challenger,2019-10-14,2019-10-14,2021-10-17T01:37:37,"ABED, SAM",H,House,REP,REPUBLICAN PARTY,CA
1980,H0KS02048,False,N,[1980],02,2.0,['02'],[1980],False,,True,,,,,,2002-03-30T00:00:00,"ABELDT, LARRY",H,House,REP,REPUBLICAN PARTY,KS
2014,S4MN00353,False,P,"[2014, 2016]",00,0.0,['00'],[2014],False,2013-07-08,True,,C,Challenger,2013-07-08,2013-07-08,2016-11-17T06:10:49,"ABELER, JAMES J",S,Senate,REP,REPUBLICAN PARTY,MN
1992,H2CA09022,False,N,[1992],09,9.0,['09'],[1992],False,,False,,C,Challenger,,,2002-03-30T00:00:00,"ABEL, HELEN R",H,House,PAF,PEACE AND FREEDOM,CA
2024,P40014888,False,N,[2024],00,0.0,['00'],[2024],False,2023-08-14,False,,C,Challenger,2023-08-14,2023-08-23,2023-08-18T21:04:10,"ABEL, JESSICA L",P,President,REP,REPUBLICAN PARTY,US
1992,H2ID01069,False,N,[1992],01,1.0,['01'],[1992],False,,False,,C,Challenger,,,2002-03-30T00:00:00,"ABEL, JOHN",H,House,IND,INDEPENDENT,ID
2018,H8GA06377,False,P,"[2018, 2020]",06,6.0,['06'],[2018],False,2017-10-20,True,,C,Challenger,2017-10-20,2017-10-20,2019-03-27T16:02:41,"ABEL, KEVIN",H,House,DEM,DEMOCRATIC PARTY,GA
1982,H2TX23033,False,N,[1982],23,23.0,['23'],[1982],False,,False,,,,,,2002-03-30T00:00:00,"ABELL, PARKER",H,House,LIB,LIBERTARIAN PARTY,TX
1984,H4TX23039,False,N,"[1984, 1986, 1988, 1990, 1992]",23,23.0,['23'],[1984],False,1984-02-09,False,,C,Challenger,1984-02-21,1984-02-21,2002-03-30T00:00:00,"ABELL, PARKER E",H,House,LIB,LIBERTARIAN PARTY,TX
2000,S0MI00155,False,P,"[2000, 2002]",00,0.0,['00'],[2000],False,2000-08-28,True,,C,Challenger,2000-08-28,2000-08-28,2002-04-12T00:00:00,"ABEL, MATTHEW R",S,Senate,UNK,UNKNOWN,MI
2006,H6MI09179,False,N,[2006],09,9.0,['09'],[2006],False,,False,,C,Challenger,,,2006-09-19T00:00:00,"ABEL, MATTHEW R.",H,House,GRE,GREEN PARTY,MI
2022,H2NY04251,False,N,"[2022, 2024]",04,4.0,['04'],[2022],False,2022-02-25,False,,C,Challenger,2022-02-25,2022-02-25,2022-03-14T21:09:28,"ABELOVE, JASON L",H,House,DEM,DEMOCRATIC PARTY,NY
2024,H4TX31057,False,C,[2024],31,31.0,['31'],[2024],False,2023-04-19,True,,C,Challenger,2023-04-19,2023-04-19,2024-01-30T21:02:09,"ABEL, WILLIAM",H,House,REP,REPUBLICAN PARTY,TX
2020,H0FL05162,False,N,[2020],05,5.0,['05'],[2020],False,2019-12-17,False,,C,Challenger,2019-12-17,2019-12-17,2019-12-30T21:08:41,"ABENCHUCHAN, ISAIAH",H,House,DEM,DEMOCRATIC PARTY,FL
2018,H8ND00120,False,N,"[2018, 2020, 2022]",00,0.0,['00'],[2018],False,,False,,O,Open seat,,,2018-05-17T21:10:29,"ABENTROTH, TIFFANY",H,House,REP,REPUBLICAN PARTY,ND
2010,H6HI01121,False,P,"[1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012]",01,1.0,"['01', '01', '01', '01', '01', '01', '01', '01', '01', '01', '01', '01', '01']","[1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010]",False,1986-01-31,True,[2010],C,Challenger,2008-11-05,2008-11-05,2011-02-24T10:53:11,"ABERCROMBIE, NEIL",H,House,DEM,DEMOCRATIC PARTY,HI
2008,H8IL08093,False,N,[2008],08,8.0,['08'],[2008],False,,False,,C,Challenger,,,2007-12-10T00:00:00,"ABERNATHY, IAIN",H,House,OTH,OTHER,IL
2020,H0IN05268,False,C,[2020],05,5.0,['05'],[2020],False,2019-10-07,True,,O,Open seat,2019-10-07,2019-10-07,2020-02-24T21:12:33,"ABERNATHY, KENT",H,House,REP,REPUBLICAN PARTY,IN
1992,H2MO03043,False,N,[1992],03,3.0,['03'],[1992],False,1992-07-06,False,,C,Challenger,,1992-07-06,2002-03-30T00:00:00,"ABERNATHY, NED L.",H,House,DEM,DEMOCRATIC PARTY,MO
1977,H6GA05134,False,P,"[1978, 1980, 1982, 1984]",05,5.0,['05'],[1977],False,1977-02-11,True,,C,Challenger,1977-02-11,1980-07-27,2002-03-30T00:00:00,"ABERNATHY, RALPH DAVID",H,House,DEM,DEMOCRATIC PARTY,GA
1984,H4AR01010,False,N,[1984],01,1.0,['01'],[1984],False,,False,,,,,,2002-03-30T00:00:00,"ABERNATHY, STEVE",H,House,DEM,DEMOCRATIC PARTY,AR
1984,H4PA20012,False,C,[1984],20,20.0,['20'],[1984],False,1984-02-29,True,,,,1984-02-29,1984-02-29,2002-03-30T00:00:00,"ABER, ROBERT M",H,House,DEM,DEMOCRATIC PARTY,PA
2024,H4OH15075,False,C,[2024],15,15.0,['15'],[2024],False,2023-10-13,True,,C,Challenger,2023-10-13,2023-10-13,2023-10-29T21:00:13,"ABID, ZERQA",H,House,DEM,DEMOCRATIC PARTY,OH
2024,P40020059,False,N,[2024],00,0.0,['00'],[2024],False,2024-05-24,False,,C,Challenger,2024-05-24,2024-05-28,2024-06-04T21:13:18,"ABITTAN, ALEXANDER",P,President,DEM,DEMOCRATIC PARTY,US
2022,H2HI01146,False,N,[2022],01,1.0,['01'],[2022],False,,False,,C,Challenger,,,2022-08-15T21:09:17,"ABKIN, STEVEN L.",H,House,N,NONPARTISAN,HI
1988,H8CT04131,False,N,[1988],04,4.0,['04'],[1988],False,,False,,O,Open seat,,,2002-03-30T00:00:00,"ABLE, ALAN",H,House,UNK,UNKNOWN,CT
2016,P60014461,False,N,"[2016, 2018]",00,0.0,['00'],[2016],False,2015-09-02,False,,O,Open seat,2015-09-02,2015-09-02,2018-02-17T09:16:20,"ABLEIDINGER, PHILL ALEXANDER",P,President,DEM,DEMOCRATIC PARTY,US
2014,S4LA00156,False,P,"[2014, 2016]",00,0.0,['00'],[2014],False,2014-09-12,True,,C,Challenger,2014-09-12,2014-09-12,2016-11-17T06:10:49,"ABLES, MURIEL WAYNE",S,Senate,DEM,DEMOCRATIC PARTY,LA
2016,P60020690,False,N,"[2016, 2018]",00,0.0,['00'],[2016],False,2016-03-22,False,,O,Open seat,2016-07-18,2016-07-18,2018-02-17T09:16:20,"ABLO, ANDY",P,President,IND,INDEPENDENT,US
2004,H4KY06122,False,N,[2004],06,6.0,['06'],[2004],False,,False,,O,Open seat,,,2004-09-16T00:00:00,"ABNER, STACY",H,House,CST,CONSTITUTIONAL,KY
2023,H4RI01281,False,C,[2024],01,1.0,['01'],[2023],False,2023-04-27,True,,O,Open seat,2023-04-27,2023-04-27,2023-07-13T21:06:27,"ABNEY, MARVIN L.",H,House,DEM,DEMOCRATIC PARTY,RI
2024,H4TN05145,False,C,[2024],05,5.0,['05'],[2024],False,2024-04-13,True,,C,Challenger,2024-04-13,2024-04-13,2024-07-16T21:10:06,"ABOLFAZLI, MARYAM.",H,House,DEM,DEMOCRATIC PARTY,TN
2012,H2AZ02279,False,P,"[2012, 2014]",02,2.0,['02'],[2012],False,2012-02-15,True,,C,Challenger,2012-02-15,2012-02-15,2013-04-26T09:04:30,"ABOUD, PAULA ANN",H,House,DEM,DEMOCRATIC PARTY,AZ
2024,H4FL02112,False,C,[2024],12,12.0,['12'],[2024],False,2024-04-23,True,,C,Challenger,2024-04-26,2024-04-26,2024-07-16T21:10:06,"ABOUJAOUDE, ROCK ADEL MR. JR",H,House,DEM,DEMOCRATIC PARTY,FL
1994,H4FL22029,False,N,[1994],22,22.0,['22'],[1994],False,1994-03-28,False,,C,Challenger,1994-03-28,1994-03-28,2002-03-30T00:00:00,"ABOUMRAD, ARTHUR G MR",H,House,IND,INDEPENDENT,FL
2016,P60005766,False,N,"[2016, 2018, 2020, 2022, 2024]",00,0.0,['00'],[2016],False,2015-01-29,False,,O,Open seat,2016-07-08,2016-07-08,2021-12-08T06:50:50,"ABOVE, ZERO, NONE OF THE",P,President,W,WRITE-IN,US
2016,P60022233,False,N,[2016],00,0.0,['00'],[2016],False,,False,,O,Open seat,,,2016-11-17T06:10:49,"ABOZAID, ABDULRAQEEB",P,President,DEM,DEMOCRATIC PARTY,US
2016,P60022290,False,N,"[2016, 2018]",00,0.0,['00'],[2016],False,2016-07-21,False,,O,Open seat,2016-07-21,2016-07-21,2018-02-17T09:16:20,"ABOZAID, ABDULRAQEEBB MR.",P,President,IND,INDEPENDENT,US
2014,H4UT03187,False,N,[2014],03,3.0,['03'],[2014],False,,False,,C,Challenger,,,2014-03-21T22:05:09,ABRAHAM,H,House,IAP,INDEPENDENT AMERICAN PARTY,UT
2020,H4LA05221,True,C,"[2014, 2016, 2018, 2020]",05,5.0,"['05', '05', '05', '05']","[2014, 2016, 2018, 2020]",False,2014-05-23,True,[2020],I,Incumbent,2019-07-22,2019-07-22,2019-07-29T21:14:14,"ABRAHAM, RALPH LEE DR. JR.",H,House,REP,REPUBLICAN PARTY,LA
1988,H6CA24097,False,N,"[1986, 1988]",24,24.0,"['24', '24']","[1986, 1988]",False,,False,,C,Challenger,,,2002-03-30T00:00:00,"ABRAHAMS, GEORGE",H,House,LIB,LIBERTARIAN PARTY,CA
2024,H4GA06137,False,C,[2024],07,7.0,['07'],[2024],False,2023-07-06,True,,C,Challenger,2024-01-18,2024-01-18,2024-01-18T21:01:50,"ABRAHAM, SHELLY JOHN",H,House,DEM,DEMOCRATIC PARTY,GA
2014,H4NY04067,False,P,"[2014, 2016]",04,4.0,['04'],[2014],False,2014-02-03,True,,O,Open seat,2014-02-03,2014-02-03,2015-04-02T15:52:44,"ABRAHAMS, KEVAN",H,House,DEM,DEMOCRATIC PARTY,NY
